UPRN,TotalEnergyConsumptionCurrent,TotalEnergyConsumptionPotential,TotalFloorArea
6000567.0,7543.43,7543.43,67.71000000000001
6000568.0,14689.62,14085.1,89.84
6000569.0,7981.033333333333,7011.126666666667,67.86
6000570.0,11110.380000000001,7267.799999999999,68.58
6000571.0,17626.0,10784.099999999999,58.06
6000572.0,13991.31,11458.23,99.315
6000573.0,9368.8,8035.3,69.1
6000574.0,9645.419999999998,7689.83,69.91
6000575.0,8117.34,6638.98,70.22
6000576.0,7410.0,5915.0,65.0
6000578.0,8165.0,6745.0,71.0
6000579.0,7808.0,6889.0,83.0
6000581.0,22094.836666666666,15406.076666666666,84.16333333333334
6000582.0,16455.0,13625.0,132.5
6000583.0,17468.0,13848.8,123.4
6000584.0,14620.68,10368.279999999999,123.24000000000001
6000585.0,14577.0,8127.0,129.0
6000586.0,11471.783333333333,10013.65,124.71666666666665
6000587.0,10153.2,7642.6,73.2
6000588.0,15348.6,12891.900000000001,110.1
6000589.0,11312.0,10416.0,112.0
6000590.0,10092.0,9048.0,116.0
6000591.0,14204.0,10600.0,106.0
6000592.0,12688.1,10255.3,115.6
6000593.0,10350.0,9975.0,75.0
6000594.0,9612.0,7722.0,54.0
6000595.0,11439.68,10969.295,109.265
6000596.0,12283.7,10465.2,126.4
6000597.0,19551.0,15162.0,133.0
6000598.0,9225.0,8364.0,123.0
6000600.0,11310.880000000001,8745.880000000001,87.74
6000601.0,13371.666666666666,10161.666666666666,60.0
6000602.0,17949.22,13204.64,128.42000000000002
6000604.0,12391.45,10576.525,118.775
6000605.0,13802.0,9785.0,103.0
6000608.0,32928.0,30912.0,168.0
6000609.0,19530.800000000003,12924.8,120.2
6000610.0,17014.440000000002,12286.880000000001,119.82
6000611.0,12960.0,10680.0,120.0
6000612.0,14980.800000000001,13176.6,118.2
6000613.0,15210.4,11648.1,114.2
6000614.0,15006.0,11468.0,122.0
6000615.0,12826.0,11737.0,121.0
6000616.0,13068.0,10527.0,121.0
6000617.0,13915.0,11616.0,121.0
6000618.0,14991.0,12757.0,119.0
6000620.0,26233.0,20980.0,188.0
6000622.0,10146.0,10146.0,114.0
6000623.0,14518.0,11712.0,122.0
6000624.0,14384.893333333333,11955.413333333332,112.00666666666666
6000625.0,16188.679999999998,13281.253333333332,121.10666666666667
6000626.0,13773.0,12133.8,115.8
6000627.0,33760.0,31650.0,211.0
6000630.0,11408.0,10488.0,92.0
6000631.0,14931.689999999999,12114.39,93.91
6000632.0,6435.0,6435.0,65.0
6000633.0,8272.0,7568.0,88.0
6000634.0,9470.52,8233.59,93.47
6000635.0,9452.18,7841.37,64.235
6000636.0,12540.65,10638.599999999999,94.55
6000637.0,22518.0,15935.0,110.0
6000638.0,18794.666666666668,16465.333333333332,92.33333333333333
6000641.0,14610.875,14349.470000000001,89.045
6000642.0,18785.800000000003,18561.15,52.175
6000643.0,17400.0,9077.0,58.0
6000644.0,18916.760000000002,15675.480000000001,57.760000000000005
6000645.0,20263.206,14767.245,72.2435
6000646.0,17499.4,12471.05,72.8
6000648.0,16800.0,16740.0,60.0
6000649.0,27122.0,17630.0,57.0
6000650.0,20656.0,20416.9,64.7
6000651.0,20534.2,18825.9,60.17
6000652.0,12876.0,11197.5,59.5
6000653.0,12709.0,12296.0,67.0
6000654.0,11172.0,8151.0,57.0
6000655.0,16583.72,13490.0,55.46
6000656.0,18944.0,16704.0,64.0
6000657.0,16388.0,16046.0,62.0
6000658.0,17989.416666666668,18006.183333333334,66.78333333333333
6000660.0,10176.0,9408.0,64.0
6000661.0,15318.0,15466.0,74.0
6000662.0,10112.0,10112.0,64.0
6000663.0,13650.0,12935.0,65.0
6000664.0,12596.685000000001,12365.605,65.89500000000001
6000665.0,14965.0,14454.0,73.0
6000667.0,32724.0,28944.0,108.0
6000668.0,21312.0,21184.0,64.0
6000669.0,13845.0,12935.0,65.0
6000670.0,12825.5,12087.0,75.5
6000671.0,15702.399999999998,15842.599999999999,70.1
6000673.0,14819.91,14120.855,61.735
6000674.0,10872.0,10008.0,72.0
6000676.0,19240.96,20067.719999999998,75.16
6000686.0,35987.0,31005.0,53.0
6000688.0,34794.0,28694.0,110.5
6000689.0,12505.0,10980.0,61.0
6000690.0,10492.895,10044.125,59.795
6000691.0,12133.6,10868.0,51.8
6000692.0,12332.0,12062.0,54.0
6000693.0,14030.0,12688.0,61.0
6000694.0,9625.0,9625.0,55.0
6000695.0,8216.0,7852.0,52.0
6000696.0,15592.5,11957.5,51.25
6000698.0,15921.0,14632.25,59.75
6000699.0,16375.640000000001,14265.960000000001,50.760000000000005
6000700.0,24384.8,24235.2,74.8
6000701.0,19214.585,17695.915,61.985
6000713.0,31079.879999999997,33223.32,82.44
6000714.0,11175.0,10800.0,75.0
6000715.0,19279.5,17133.09,75.315
6000716.0,12734.7,12566.4,56.1
6000717.0,10363.04,10044.16,39.86
6000718.0,8287.630000000001,7696.355,37.754999999999995
6000721.0,12171.18,11776.409999999998,66.97
6000722.0,17774.65,16993.85,78.35
6000723.0,13574.923333333334,13700.433333333334,58.45666666666667
6000724.0,8922.78,8501.93,42.17
6000725.0,10180.0,10060.0,40.0
6000726.0,13200.4,12941.935000000001,61.535
6000727.0,24065.5,23411.5,74.5
6000728.0,11286.779999999999,10686.84,63.239999999999995
6000730.0,16002.666666666666,15618.366666666667,65.43333333333334
6000732.0,10082.400000000001,10021.2,38.1
6000733.0,18912.85,19574.5,54.85
6000735.0,12513.4,12803.599999999999,64.53999999999999
6000737.0,15295.0,15485.0,95.0
6000738.0,21146.0,18915.0,97.0
6000739.0,21900.0,20440.0,73.0
6000740.0,18627.693333333333,17158.393333333333,78.04
6000741.0,20085.0,18720.0,65.0
6000742.0,16999.5,17006.5,79.5
6000751.0,10149.04,7381.605,46.254999999999995
6000754.0,27924.0,13572.0,156.0
6000755.0,69160.0,30576.0,104.0
6000769.0,38651.2,24847.199999999997,197.2
6000770.0,10988.0,8200.0,82.0
6000771.0,12546.0,12423.0,41.0
6000774.0,22077.0,8613.0,99.0
6000775.0,22291.050000000003,18977.475,51.475
6000776.0,38728.53,31001.670000000002,94.23
6000777.0,13230.0,10290.0,49.0
6000778.0,16924.16,13667.84,48.72
6000779.0,13584.0,9744.0,48.0
6000781.0,28842.0,10557.0,138.0
6000783.0,5856.0,4704.0,32.0
6000789.0,37465.0,10350.5,127.0
6000792.0,66270.0,37130.0,235.0
6000796.0,33127.0,16956.0,157.0
6000798.0,43818.0,20904.0,201.0
6000800.0,37662.0,22268.5,186.5
6000802.0,34007.5,16554.5,146.5
6000808.0,30002.0,18074.0,150.5
6000817.0,18705.0,8256.0,129.0
6000818.0,20066.0,8636.0,127.0
6000820.0,17600.2,10285.866666666667,99.73333333333333
6000822.0,27932.0,8820.0,100.0
6000823.0,14250.0,8600.0,50.0
6000824.0,10836.0,6972.0,42.0
6000825.0,11650.0,6850.0,50.0
6000827.0,10832.849999999999,7814.7,45.45
6000830.0,10032.0,7008.0,48.0
6000831.0,14355.0,3465.0,99.0
6000835.0,39420.0,8640.0,108.0
6000836.0,15226.0,10580.0,46.0
6000844.0,11454.0,8300.0,83.0
6000850.0,8040.0,4980.0,60.0
6000851.0,24693.415,18201.45,71.35499999999999
6000868.0,12604.0,9292.0,46.0
6000870.0,10320.0,8112.0,48.0
6000872.0,25773.5,15402.0,75.0
6000873.0,15721.5,8245.5,48.5
6000874.0,10485.0,4635.0,45.0
6000875.0,11077.900000000001,10023.900000000001,62.05
6000876.0,12508.369999999999,9446.635,48.504999999999995
6000878.0,9108.0,4922.0,46.0
6000879.0,12375.95,8278.5,46.65
6000880.0,10342.5,5637.5,52.5
6000881.0,13209.0,6222.0,51.0
6000883.0,13064.5,7204.5,37.25
6000886.0,10120.0,8188.0,46.0
6000888.0,9456.0,6096.0,48.0
6000891.0,19222.48,11008.72,57.04
6000892.0,6811.0,6125.0,49.0
6000903.0,15604.5,11819.5,89.5
6000917.0,15711.96,8785.42,63.620000000000005
6000919.0,7310.0,6765.333333333333,43.0
6000920.0,37234.1,22417.46,95.03999999999999
6000921.0,28230.5,18943.5,103.5
6000923.0,19838.0,8066.0,109.0
6000925.0,32557.5,12805.5,131.5
6000927.0,30145.099999999995,18624.266666666666,104.10000000000001
6000928.0,26388.0,10626.5,101.5
6000929.0,26852.5,13510.0,112.5
6000930.0,56745.55,57968.365,145.905
6000931.0,6447.3,6050.900000000001,46.699999999999996
6000943.0,25356.666666666668,21761.426666666666,102.94666666666667
6000945.0,30399.539999999997,24622.199999999997,86.94
6000947.0,26344.370000000003,13730.635,77.965
6000948.0,11200.0,10688.0,64.0
6000953.0,20398.0,3290.0,94.0
6000970.0,61232.0,23674.0,178.0
6000971.0,48492.0,20714.0,178.5
6000973.0,25760.0,2560.0,32.0
6000978.0,34776.0,17172.0,108.0
6000980.0,19980.0,5439.0,111.0
6000989.0,25474.0,12314.0,94.0
6000990.0,19985.75,17435.25,54.25
6001006.0,29870.61,28695.24,40.53
6001008.0,5070.0,5070.0,39.0
6001009.0,21140.09,13811.565,62.695
6001018.0,64236.0,22826.0,202.0
6001021.0,41657.369999999995,38521.34,167.96499999999997
6001022.0,57592.0,41942.0,313.0
6001025.0,10137.0,7285.0,31.0
6001030.0,44185.5,41076.15,163.65
6001032.0,50519.600000000006,41940.8,119.15
6001034.0,78838.5,77064.0,253.5
6001035.0,40392.0,26433.0,297.0
6001036.0,77805.0,76095.0,213.75
6001037.0,34145.175,21940.11,187.635
6001038.0,42840.0,21828.0,204.0
6001039.0,34883.5,25330.0,198.75
6001043.0,43254.0,30496.186666666665,233.16
6001047.0,84774.0,45372.0,398.0
6001057.0,58725.0,22500.0,225.0
6001058.0,42240.0,23760.0,240.0
6001059.0,56250.0,30000.0,250.0
6001063.0,66700.0,44160.0,230.0
6001065.0,43248.0,24888.0,204.0
6001067.0,49500.0,16940.0,220.0
6001068.0,55329.56,37571.66,249.57999999999998
6001070.0,83460.25,63784.75,260.66999999999996
6001074.0,35960.125,20356.845,124.185
6001075.0,35086.5,20698.5,209.5
6001078.0,37697.0,23023.0,253.0
6001082.0,55404.0,30861.0,243.0
6001083.0,61640.0,28060.0,230.0
6001084.0,8325.0,5069.0,37.0
6001085.0,99225.0,48600.0,405.0
6001086.0,42480.350000000006,28952.2,214.45
6001089.0,38517.73,28574.8,123.49000000000001
6001092.0,45380.333333333336,28348.666666666668,211.33333333333334
6001095.0,34720.0,16660.0,140.0
6001101.0,26754.0,16170.0,98.0
6001102.0,9106.65,7460.55,26.55
6001109.0,42633.333333333336,21637.333333333332,231.66666666666666
6001112.0,17072.64,16926.72,48.64
6001113.0,60574.0,23718.0,278.0
6001129.0,7744.0,6732.0,44.0
6001131.0,6150.5,5939.0,51.0
6001132.0,8140.0,8140.0,55.0
6001133.0,8379.0,7546.0,49.0
6001138.0,15600.0,8216.0,104.0
6001139.0,12616.0,4940.0,76.0
6001142.0,18252.0,9828.0,108.0
6001144.0,18382.86,13514.34,83.94
6001146.0,14399.0,6373.0,102.5
6001147.0,16459.0,8720.0,109.0
6001149.0,10396.0,9944.0,56.5
6001158.0,11523.0,5497.0,23.0
6001162.0,7453.0,4872.0,29.0
6001163.0,11682.0,8676.0,27.0
6001164.0,24495.0,14605.0,115.0
6001169.0,12995.5,4609.0,77.5
6001170.0,12008.0,4636.0,76.0
6001174.0,13019.759999999998,11851.32,83.46
6001177.0,6380.0,6380.0,55.0
6001179.0,5763.173333333333,5763.173333333333,45.00333333333333
6001181.0,8165.5,7847.5,49.5
6001197.0,13980.966666666667,7734.033333333333,52.23333333333333
6001198.0,7832.0,7832.0,44.0
6001199.0,7661.0,7661.0,47.0
6001201.0,5830.0,5406.0,53.0
6001202.0,7397.5,6938.0,54.0
6001203.0,6386.160000000001,6144.26,48.38
6001205.0,7700.0,6380.0,55.0
6001208.0,24253.0,13272.0,79.0
6001209.0,37620.0,19800.0,180.0
6001211.0,30100.96,24876.440000000002,221.16
6001215.0,7428.5,7345.5,41.5
6001216.0,4510.0,4510.0,41.0
6001219.0,5761.75,5699.5,41.25
6001220.0,5490.3,5389.0,43.760000000000005
6001224.0,6515.5,6515.5,41.5
6001229.0,11198.5,10747.5,84.5
6001231.0,6314.0,6314.0,41.0
6001232.0,7462.0,7462.0,41.0
6001233.0,6314.0,5863.0,41.0
6001234.0,6660.0,6660.0,45.0
6001237.0,5718.025,5492.525,37.885000000000005
6001238.0,8027.75,7535.75,41.25
6001239.0,8676.0,6948.0,36.0
6001242.0,6889.0,6889.0,41.5
6001243.0,7860.48,7860.48,40.94
6001245.0,10464.0,7824.0,48.0
6001246.0,7392.0,7000.0,56.0
6001247.0,9853.0,9853.0,59.0
6001248.0,7717.400000000001,7139.433333333333,68.56666666666666
6001249.0,11401.5,9255.5,70.5
6001250.0,10452.0,10452.0,67.0
6001252.0,10350.0,7875.0,75.0
6001253.0,10677.0,9557.0,69.0
6001254.0,9874.5,8118.2,64.495
6001255.0,13957.9,12248.06,58.85999999999999
6001256.0,9472.0,8732.0,74.0
6001258.0,8208.0,6588.0,54.0
6001259.0,13952.0,10688.0,64.0
6001260.0,10974.0,10325.0,59.0
